"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Suiza","CHE","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2690","2680","2650","2610","2610","2600","2590","2510","2500","2410","2380","2410","2290","2260","2230","2270","2280","2240","2310","2280","2280","2240","2180","2210","2190","2180","2190","2180","2140","","","",
"Islas del Canal","CHI","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4760","4770","4970","5200","5410","5710","5970","6180","6260","6530","6690","6630","6650","6380","6860","6490","6640","7200","7940","7960","8240","7640","7480","6940","6790","6730","6300","6320","6410","","","",
"China","CHN","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312810","319570","324780","315420","328610","370950","396540","368670","377470","393760","386080","388460","406210","407630","420330","428090","439850","448440","464100","475600","486770","493000","503970","515990","528020","542900","546990","542100","538790","","","",
"Côte d'Ivoire","CIV","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2580","3010","3430","3890","4330","4170","3780","3710","3520","3210","3080","3290","3610","3470","2860","3540","3310","3430","3160","3050","3040","3160","3190","3420","3010","3090","3680","3080","3030","","","",
"Camerún","CMR","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5420","5380","5400","5410","61190","61190","61330","61510","62060","62020","62730","62330","62270","62950","62210","62990","62490","62410","62280","62160","62470","62430","62370","62570","62490","62610","62700","62680","62710","","","",
"Congo, República Democrática del","COD","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14080","14010","14070","14050","14060","14000","11270","11020","11500","10570","10510","11290","13900","15110","16060","15830","16090","14350","15160","15060","15610","14940","14920","15730","15500","16170","16060","16630","15790","","","",
"Congo, República del","COG","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1520","1520","1520","1520","1530","1520","890","910","940","940","830","880","1120","1560","1640","1860","1890","1740","1750","1670","1900","1950","1890","1970","1760","1950","1980","1960","2010","","","",
"Colombia","COL","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17930","17930","17920","18250","18540","18520","18260","18270","18610","17960","18450","18950","19250","19940","20180","20580","21050","22560","21740","21950","22460","21700","21230","19770","20320","19790","19890","21080","21720","","","",
"Comoras","COM","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","40","40","40","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","","","",
"Cabo Verde","CPV","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","80","80","70","90","60","70","80","90","80","80","80","80","90","90","90","90","90","100","100","70","80","80","80","80","80","70","70","","","",
"Costa Rica","CRI","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1670","1710","1710","1680","1650","1540","1780","1830","1870","1680","1590","1480","1470","1590","1490","1560","1580","1670","1760","1550","1670","1890","1830","1850","1780","1830","1960","1920","1940","","","",
"Estados pequeos del Caribe","CSS","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1830","1910","1920","1890","1900","2020","2080","2110","2090","2150","2140","2130","2220","2330","2380","2250","2200","2180","2320","2290","2290","2300","2360","2460","2460","2510","2450","2400","2460","","","",
"Cuba","CUB","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6350","5840","5380","4570","4060","4050","4050","4150","4020","3790","3740","3890","3620","3400","3500","3290","3460","3520","3580","3470","3520","3720","3650","3760","3950","3840","3740","3700","3620","","","",
"Curacao","CUW","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320","330","370","370","370","370","390","370","380","380","370","390","410","410","400","370","380","380","370","390","400","390","390","350","340","360","370","370","370","","","",
"República Checa","CZE","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8150","6220","6040","5470","5650","5680","5870","5620","5560","5310","5510","5860","4890","4980","5200","5130","5000","5030","4940","4700","4560","4720","5140","4990","5110","5570","5600","5280","5170","","","",
"Alemania","DEU","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65850","64460","64370","61230","64810","62920","64010","61410","48490","44960","43240","44940","44470","44220","45570","43620","41990","45810","43660","43880","36990","35650","35540","36120","37020","36240","35600","34580","32900","","","",
