"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Chile","CHL","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30410","29560","31490","32300","35380","38250","44060","50560","51410","53770","49820","47870","48690","49910","54730","55720","57050","64740","68250","65370","69720","76470","78490","82940","76390","81970","86160","87040","86620","","","",
"China","CHN","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173360","2302190","2418180","2643530","2763900","3084870","3064880","3128650","3232120","3149200","3344090","3526750","3808330","4413300","5121830","5819120","6431910","6988210","7195010","7715110","8470570","9278250","9533210","9936680","9894940","9830430","9814310","10017770","10313460","","","",
"Côte d'Ivoire","CIV","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2710","2790","2770","2960","3090","3260","3880","4790","4830","6690","6330","6260","6380","5150","5420","5810","5630","5550","6360","5930","6220","5990","7890","8460","8960","9560","9320","10380","9910","","","",
"Camerún","CMR","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","2650","2530","6660","7290","7110","6340","6590","6760","6520","6700","6330","6220","6100","6540","6610","6950","8120","8210","8790","8990","7970","7060","7370","7750","8010","8550","8320","8620","","","",
"Congo, República Democrática del","COD","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3180","1740","1480","1430","1280","1240","1250","1200","1330","1320","920","790","880","1070","1170","1490","1600","1750","1870","1920","2060","2520","2430","3650","4790","2890","2060","2280","2200","","","",
"Congo, República del","COG","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840","3080","3010","2990","2780","2930","2800","3340","3230","2950","2860","2990","2800","2940","2860","4820","4950","5130","5410","5440","4980","4860","4750","4000","4080","3440","3350","3220","3220","","","",
"Colombia","COL","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48860","50580","53210","55780","56430","59060","58850","63590","64090","55870","58220","58560","56430","56020","56220","57910","57720","59190","60000","62960","64680","69910","70290","77790","79820","81030","83760","76060","79490","","","",
"Comoras","COM","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","70","70","80","80","80","90","90","100","110","110","140","150","140","150","120","120","130","160","150","150","180","160","180","200","250","260","","","",
"Cabo Verde","CPV","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","110","110","110","120","140","150","160","190","220","250","280","310","340","440","500","460","480","510","540","570","530","510","500","500","550","590","620","","","",
"Costa Rica","CRI","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2870","3060","4150","4180","4850","4810","4530","4490","5020","5040","4950","5420","5520","5800","5940","6270","6560","7600","7520","7200","7110","7430","7450","7780","7830","7540","8080","8180","8260","","","",
"Estados pequeos del Caribe","CSS","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28330","27640","28470","28470","29430","30190","30570","31430","33060","33390","32770","34220","34770","34590","35260","38980","42900","42970","39950","48680","39680","41140","42870","41400","40210","39450","36580","35670","36920","","","",
